UniqueID,TotalCornS_Bu,TotalCornD_Bu,CattlCornD_Bu,HogCornD_Bu,BroilerCornD_Bu,EthanolCornD_Bu,AllOtherCornD_Bu,LayerCorn_bu,PulletCorn_bu,TurkeyCorn_bu,MilkcowCorn_bu,Wetmill_bu,Export_bu
1001,36795.98392,125527.2651,0,707.2218544,82146.84541,0,40592.75449,792.5146196,19.38592771,0,1268.542794,0,0
1003,626097.2494,56360.80547,0,3089.442838,0,0,49532.24195,0,151.2102361,99.41776312,3488.492682,0,0
1005,194425.7085,2459579.215,0,31359.57253,1943724.843,0,128915.9713,337093.9642,12697.93468,0,5786.929254,0,0
1007,123026.6708,16519.57237,0,1656.388028,0,0,13845.11727,996.0963568,21.97071807,0,0,0,0
1009,122157.1699,5316902.31,0,3201.109446,4742194.571,0,269392.3816,259886.629,30979.73313,28.193097,11219.69271,0,0
1011,44986.02366,568794.7352,0,186.1110143,433545.8186,0,41149.47064,93877.14788,36.18706506,0,0,0,0
1013,123026.6708,2599129.518,0,14915.16084,2399753.29,0,112020.1511,54011.48128,15677.07005,0,2752.364705,0,0
1015,143673.4656,1784399.105,0,23348.60913,1646367.793,0,94191.9625,2599.821878,10755.36528,0,7135.553214,0,0
1017,40146.8391,140422.5758,0,4652.775358,82146.84541,0,45731.55643,1410.530607,85.29808192,0,6395.569918,0,0
1019,422968.8309,2719371.271,0,24041.91766,2259024.399,0,128410.6971,303419.9513,37.73793928,0,4436.56802,0,0
1021,13391.79317,61186.78807,0,21884.35596,35.89667889,0,31244.03789,3972.959921,11.11459855,0,4038.423023,0,0
1023,2961.86001,98499.53675,0,1898.332346,82146.84541,0,11608.77452,1651.504909,66.94607036,0,1127.133494,0,0
1025,4125.674382,97729.01979,0,1246.943796,82146.84541,0,12825.33764,973.2453455,536.6476027,0,0,0,0
1027,123026.6708,2034382.69,0,30931.67117,1661326.298,0,113263.4584,223140.3719,12.92395181,0,5707.966606,0,0
1029,33904.9464,2226950.356,0,3871.109098,2002532.936,0,101292.275,103075.7186,13082.11525,0,3096.202059,0,0
